channel,spend,saturation
television,549618.4862436365,0.9337548064768866
television,557583.9715515153,0.9355128225356907
television,565549.456859394,0.9372033008091877
television,573514.9421672728,0.9388295782015038
television,581480.4274751516,0.9403947930995892
television,589445.9127830304,0.9419018989912403
television,597411.3980909092,0.943353677040153
television,605376.8833987879,0.9447527477047681
television,613342.3687066667,0.9461015814800504
television,621307.8540145456,0.9474025088343964
television,629273.3393224244,0.9486577294075491
television,637238.8246303031,0.9498693205296513
television,645204.3099381819,0.95103924511634
television,653169.7952460607,0.9521693589900311
television,661135.2805539395,0.953261417673217
television,669100.7658618183,0.9543170826956683
television,677066.251169697,0.955337927453848
television,685031.7364775758,0.9563254426575943
television,692997.2217854547,0.9572810413961593
television,700962.7070933335,0.9582060638529962
television,708928.1924012123,0.9591017816962252
television,716893.677709091,0.9599694021694724
television,724859.1630169698,0.9608100719057332
television,732824.6483248486,0.9616248804850498
television,740790.1336327274,0.9624148637550949
television,748755.6189406061,0.9631810069322051
television,756721.104248485,0.9639242474989926
television,764686.5895563638,0.9646454779133667
television,772652.0748642426,0.9653455481426246
television,780617.5601721214,0.9660252680351804
television,788583.0454800001,0.966685409541521
radio,0.0,0.0
radio,4053.5777320918673,0.0013789332470910498
radio,8107.155464183735,0.005493009508052477
radio,12160.733196275602,0.012274988110117933
radio,16214.31092836747,0.02161583015058507
radio,20267.888660459335,0.03336900407779182
radio,24321.466392551203,0.047356066963707366
radio,28375.04412464307,0.06337313744976758
radio,32428.62185673494,0.0811978441773467
radio,36482.19958882681,0.10059634179538385
radio,40535.77732091867,0.12133002955793526
radio,44589.35505301054,0.1431616755954736
radio,48642.932785102406,0.16586073205350374
radio,52696.51051719428,0.18920771165223566
radio,56750.08824928614,0.21299757584717866
radio,60803.66598137801,0.23704215232089143
radio,64857.24371346988,0.2611716515187158
radio,68910.82144556174,0.2852353874262536
radio,72964.39917765361,0.3091018278189703
radio,77017.97690974548,0.3326581061202093
radio,81071.55464183734,0.35580912373315926
radio,85125.13237392921,0.3784763613123995
radio,89178.71010602108,0.40059650269247166
radio,93232.28783811296,0.42211995840276806
radio,97285.86557020481,0.44300935862815705
radio,101339.44330229668,0.46323806934539674
radio,105393.02103438856,0.482788770931123
radio,109446.59876648041,0.50165212617877
radio,113500.17649857228,0.5198255544835072
radio,117553.75423066416,0.5373121208728489
radio,121607.33196275603,0.5541195423783041
radio,125660.90969484788,0.5702593097044403
radio,129714.48742693976,0.5857459189821305
radio,133768.06515903163,0.6005962063269057
radio,137821.64289112348,0.6148287767196756
radio,141875.22062321537,0.6284635181757691
radio,145928.79835530723,0.6415211920936372
radio,149982.37608739908,0.6540230909341302
radio,154035.95381949097,0.6659907548624767
radio,158089.53155158283,0.6774457396015683
radio,162143.10928367468,0.6884094284322575
radio,166196.68701576657,0.6989028819872659
radio,170250.26474785843,0.7089467201871832
radio,174303.84247995028,0.7185610313380281
radio,178357.42021204217,0.7277653040362961
radio,182410.99794413403,0.7365783781017884
radio,186464.5756762259,0.7450184112776361
radio,190518.15340831777,0.7531028589007001
radio,194571.73114040963,0.7608484641558816
radio,198625.3088725015,0.7682712568880254
radio,202678.88660459337,0.7753865592590248
radio,206732.46433668523,0.7822089968097167
radio,210786.0420687771,0.7887525137205533
radio,214839.61980086897,0.7950303912660948
radio,218893.19753296082,0.8010552686300976
radio,222946.7752650527,0.8068391653940532
radio,227000.35299714457,0.8123935051358693
radio,231053.93072923642,0.8177291396799531
radio,235107.5084613283,0.822856373627996
radio,239161.08619342017,0.8277849888735831
radio,243214.66392551205,0.8325242688654877
