channel,spend,saturation
social_media,14867.081818181821,0.34559723792678476
social_media,15610.435909090911,0.36798553925308647
social_media,16353.790000000003,0.38987715931920347
social_media,17097.144090909092,0.4112197994881155
social_media,17840.498181818184,0.4319730046218257
social_media,18583.852272727276,0.4521068207331547
social_media,19327.206363636367,0.47160049132382953
social_media,20070.56045454546,0.4904412206822396
social_media,20813.91454545455,0.5086230229380656
social_media,21557.26863636364,0.5261456679625695
social_media,22300.62272727273,0.543013729147948
social_media,23043.97681818182,0.5592357335137389
social_media,23787.330909090913,0.5748234112588826
social_media,24530.685000000005,0.5897910395860476
social_media,25274.039090909097,0.6041548741635535
social_media,26017.393181818188,0.6179326607745994
social_media,26760.747272727276,0.6311432193743307
social_media,27504.101363636368,0.6438060928000662
social_media,28247.45545454546,0.6559412526516385
social_media,28990.80954545455,0.6675688552928646
social_media,29734.163636363643,0.6787090414568598
social_media,30477.517727272734,0.6893817735187859
social_media,31220.871818181822,0.6996067050945105
social_media,31964.225909090914,0.7094030782079302
social_media,32707.580000000005,0.7187896438269149
social_media,33450.9340909091,0.7277846020877365
social_media,34194.288181818185,0.7364055590047998
social_media,34937.64227272728,0.7446694968941978
social_media,35680.99636363637,0.7525927561260851
social_media,36424.35045454546,0.7601910261636868
social_media,37167.70454545455,0.7674793441485356
social_media,37911.05863636365,0.7744720995554004
social_media,38654.412727272735,0.7811830436697799
social_media,39397.76681818182,0.7876253028392619
social_media,40141.12090909092,0.7938113946209092
social_media,40884.475000000006,0.79975324609333
social_media,41627.8290909091,0.8054622137272469
social_media,42371.18318181819,0.8109491043148929
social_media,43114.53727272728,0.8162241965489312
social_media,43857.89136363637,0.8212972629179904
social_media,44601.24545454546,0.826177591650297
social_media,45344.599545454555,0.8308740084909635
social_media,46087.95363636364,0.835394898143765
social_media,46831.30772727274,0.8397482252460015
social_media,47574.66181818183,0.8439415547764163
social_media,48318.015909090915,0.8479820718221153
social_media,49061.37000000001,0.8518766006518109
social_media,49804.7240909091,0.8556316230602463
social_media,50548.07818181819,0.8592532959629217
social_media,51291.43227272728,0.8627474682317904
social_media,52034.786363636376,0.8661196967718473
social_media,52778.140454545464,0.8693752618458747
social_media,53521.49454545455,0.872519181660372
social_media,54264.84863636365,0.8755562262301252
social_media,55008.202727272736,0.8784909305422206
social_media,55751.55681818183,0.8813276070427474
social_media,56494.91090909092,0.8840703574711433
social_media,57238.26500000001,0.886723084068241
social_media,57981.6190909091,0.889289500184689
social_media,58724.97318181819,0.8917731403166475
social_media,59468.327272727285,0.8941773695955675
social_media,60211.68136363637,0.8965053927585286
social_media,60955.03545454547,0.8987602626250804
social_media,61698.389545454556,0.9009448881058589
social_media,62441.743636363644,0.9030620417674665
social_media,63185.09772727274,0.9051143669772365
social_media,63928.45181818183,0.9071043846505945
social_media,64671.80590909092,0.9090344996227729
social_media,65415.16000000001,0.9109070066656748
social_media,66158.5140909091,0.912724096169709
social_media,66901.8681818182,0.9144878595094635
social_media,67645.22227272729,0.9162002941111321
social_media,68388.57636363637,0.9178633082386859
social_media,69131.93045454547,0.9194787255148866
social_media,69875.28454545456,0.9210482891923668
social_media,70618.63863636366,0.9225736661891683
social_media,71361.99272727274,0.9240564509023274
social_media,72105.34681818183,0.9254981688123327
social_media,72848.70090909093,0.9269002798905439
social_media,73592.05500000001,0.9282641818209707
preroll,0.0,0.0
preroll,964.4221212121213,0.0018122082971146524
preroll,1928.8442424242426,0.007209637095965129
preroll,2893.266363636364,0.01607679861135556
preroll,3857.688484848485,0.02822800731775082
preroll,4822.110606060606,0.04341687722448197
preroll,5786.532727272728,0.06134833973618332
preroll,6750.954848484849,0.081692134673896
