product,channel,total_spend,ridge_coef_std,ridge_coef_orig,marginal_per_1000,marginal_ci_lo,marginal_ci_hi,roas,total_contribution,contribution_pct,saturation_pct
In-Ground Pools (CR),radio,2167276.6270270273,786.6410457576644,2485.196212958752,22.782083392596345,0.0,144.07481985489403,0.022782083392596346,40113.78150179055,0.08770391862864761,44.836367550088696
In-Ground Pools (CR),panneaux,292495.0237837838,0.0,0.0,0.0,0.0,1076.342667897685,0.0,0.0,0.0,40.45218115012567
In-Ground Pools (CR),social_media,827420.59939,139.86688113092936,802.7365765601864,19.619136753205275,0.0,712.5378528369496,0.019619136753205275,14997.142465816036,0.03278943328804476,51.89588999447788
In-Ground Pools (CR),preroll,902393.3820270271,6026.7803565788145,19236.962213079278,424.94944185742247,101.86664456391786,768.0531692717262,0.42494944185742245,314102.62976130046,0.6867473085378318,45.35577370419122
In-Ground Pools (CR),banniere_web,827607.2448243244,3138.1667199996796,14158.775877331094,351.9035560413191,0.0,798.8979434319494,0.3519035560413191,253984.32623161035,0.5553059284569005,49.82860265763431
In-Ground Pools (CR),circulaire_digitale,446545.72162162163,0.0,0.0,0.0,0.0,608.7878003860202,0.0,0.0,0.0,46.85475678646795
Spas (SP),television,3948951.24,194323.38957642633,576917.6037608577,2463.041420147732,458.1993021434331,3752.915009542346,2.4630414201477318,7649089.8409949755,5.6733072589703255,36.82930047901441
Spas (SP),radio,2167276.6270270273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.836367550088696
Spas (SP),panneaux,292495.0237837838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.45218115012567
Spas (SP),social_media,827420.59939,0.0,0.0,0.0,0.0,14951.641981298915,0.0,0.0,0.0,51.89588999447788
Spas (SP),preroll,902393.3820270271,167292.25914516178,533982.4379368948,11795.809361660467,3533.299757039365,19420.349370926444,11.795809361660467,8718907.182148129,6.466787609378528,45.35577370419122
Spas (SP),banniere_web,827607.2448243244,0.0,0.0,0.0,0.0,8031.9655666172785,0.0,0.0,0.0,49.82860265763431
Spas (SP),circulaire_digitale,446545.72162162163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.85475678646795
Furniture & Gazebo (ME&GA),television,3948951.24,69977.59295886074,207753.19602430458,886.9632745476832,0.0,1835.8078706215163,0.8869632745476832,2754505.7574676895,1.475977308680443,36.82930047901441
Furniture & Gazebo (ME&GA),radio,2167276.6270270273,11358.779126054298,35885.23001709897,328.9640868391342,0.0,2001.2475323383562,0.3289640868391342,579226.810559805,0.3103735131603355,44.836367550088696
Furniture & Gazebo (ME&GA),panneaux,292495.0237837838,0.0,0.0,0.0,0.0,28936.767662016744,0.0,0.0,0.0,40.45218115012567
Furniture & Gazebo (ME&GA),social_media,827420.59939,46274.726967827875,265584.0725628159,6490.959040898283,0.0,17482.409298408817,6.490959040898283,4961779.853041917,2.6587254188534972,51.89588999447788
Furniture & Gazebo (ME&GA),preroll,902393.3820270271,66308.58822737713,211651.28487555927,4675.431306670861,452.41367753735227,8357.354342729555,4.675431306670861,3455858.801166184,1.851791073115852,45.35577370419122
Furniture & Gazebo (ME&GA),banniere_web,827607.2448243244,12202.848639720229,55056.794100095154,1368.3867726925487,0.0,8320.723541575528,1.3683867726925487,987625.1220540575,0.5292101008257344,49.82860265763431
Furniture & Gazebo (ME&GA),circulaire_digitale,446545.72162162163,56312.68053279165,169029.37109308763,9011.225535855796,0.0,20416.444721126103,9.011225535855797,2851138.8260410526,1.5277572754115956,46.85475678646795
Fitness (FI),television,3948951.24,0.0,0.0,0.0,0.0,0.39423824243111977,0.0,0.0,0.0,36.82930047901441
Fitness (FI),radio,2167276.6270270273,0.0,0.0,0.0,0.0,1.5124603230379805,0.0,0.0,0.0,44.836367550088696
Fitness (FI),panneaux,292495.0237837838,0.0,0.0,0.0,0.0,21.97330208271494,0.0,0.0,0.0,40.45218115012567
Fitness (FI),social_media,827420.59939,0.0,0.0,0.0,0.0,8.13160061985753,0.0,0.0,0.0,51.89588999447788
Fitness (FI),preroll,902393.3820270271,0.0,0.0,0.0,0.0,4.613566734243995,0.0,0.0,0.0,45.35577370419122
Fitness (FI),banniere_web,827607.2448243244,0.0,0.0,0.0,0.0,2.729541984829314,0.0,0.0,0.0,49.82860265763431
Fitness (FI),circulaire_digitale,446545.72162162163,0.0,0.0,0.0,0.0,5.472768228474919,0.0,0.0,0.0,46.85475678646795
BBQ (BQ),television,3948951.24,56.3095936835388,167.17491356787068,0.7137219142613709,0.0,2.9401047888659066,0.0007137219142613709,2216.4966447639736,0.01739361648634751,36.82930047901441
BBQ (BQ),radio,2167276.6270270273,56.39400093498291,178.162782520742,1.6332389964542084,0.0,5.672363121161467,0.0016332389964542084,2875.7419203047425,0.022566942383447468,44.836367550088696
BBQ (BQ),panneaux,292495.0237837838,40.086712835836366,92.23742061632386,15.765235354240664,0.0,80.78538087511552,0.015765235354240664,1343.233745133073,0.010540820203611379,40.45218115012567
BBQ (BQ),social_media,827420.59939,77.31789188629932,443.74979507520914,10.845385856333408,0.0,32.751985518917365,0.010845385856333408,8290.364598106256,0.06505736098996351,51.89588999447788
BBQ (BQ),preroll,902393.3820270271,72.00010483381817,229.8181141633901,5.076741237036787,0.0,15.399868242695169,0.005076741237036787,3752.488216482734,0.02944707408478353,45.35577370419122
BBQ (BQ),banniere_web,827607.2448243244,97.95038466521146,441.9323978979801,10.983829654310567,0.0,29.087786796250597,0.010983829654310566,7927.514588301839,0.062209951350289755,49.82860265763431
BBQ (BQ),circulaire_digitale,446545.72162162163,127.49005099372567,382.67691994428344,20.401117336498164,0.0,46.90365330764873,0.020401117336498163,6454.884244242264,0.05065371123991602,46.85475678646795
