store_code,division_code,forecast_week,horizon,pred_units,pred_units_lower,pred_units_upper
CP12,LO,2026-04-05,2,2.4339741990085475,1.057916344969766,5.606405938316377
CP12,ME,2026-04-05,2,11.21520978742121,5.316369744289739,19.932893712067237
CP12,PA,2026-04-05,2,5.675258672780872,0.9495633661193948,34.189507326273734
CP12,PC,2026-04-05,2,56.324274480687514,22.331484026741027,74.02783851734479
CP12,SP,2026-04-05,2,1.1535896413044886,0.9255636315735133,1.1535896413044886
CP12,TO,2026-04-05,2,1.2403170228372893,0.9506238804749731,1.6837300539798707
CP13,BQ,2026-04-05,2,1.2441515308936988,0.9895387887849947,1.965003675814721
CP13,CH,2026-04-05,2,1.6365497585091824,0.9008075952721418,2.7723784346422455
CP13,FI,2026-04-05,2,1.2122701284290343,1.0109975522390402,2.0619213464391137
CP13,GA,2026-04-05,2,1.4877109748254722,0.9968029580450455,2.0940071198934187
CP13,HT,2026-04-05,2,1.021099152965126,0.979688850302528,1.2718453534992886
CP13,LO,2026-04-05,2,1.5843953140419822,0.9627206243909318,8.729713138309867
CP13,ME,2026-04-05,2,5.522138834815968,2.9610027588287964,13.529516959887623
CP13,PA,2026-04-05,2,1.2698533414388944,0.9655749741675456,6.378927035926836
CP13,PC,2026-04-05,2,54.897838260794536,48.486803035244,77.41236529864584
CP13,SP,2026-04-05,2,1.0302864811384493,0.988728099609715,1.1843908793804852
CP13,TO,2026-04-05,2,1.1721167815483162,0.9614998903288586,1.9067173842560887
CP15,BQ,2026-04-05,2,1.172409876525961,0.9559497665767235,2.6424524388917656
CP15,CH,2026-04-05,2,1.6727436619272829,0.9684674154140849,2.634664943244714
CP15,FI,2026-04-05,2,1.2403549427718088,0.9975393287719581,1.7430823269345093
CP15,GA,2026-04-05,2,1.044866793049004,1.044866793049004,4.120993135003289
CP15,HT,2026-04-05,2,1.803522398619335,0.9301451028197617,2.436683426147099
CP15,LO,2026-04-05,2,23.1713716415688,11.94141829749781,37.28486260064233
CP15,ME,2026-04-05,2,4.256035340043911,2.494774906072223,9.542432389536412
CP15,PA,2026-04-05,2,1.2151355240069086,0.9630483174039235,1.7016603478133538
CP15,PC,2026-04-05,2,65.10615744847082,42.91967634317524,74.38120495308571
CP15,SP,2026-04-05,2,1.0477276202427674,0.8839949783047824,1.4338072998831264
CP15,TO,2026-04-05,2,3.5702286693589267,0.9462499966686604,11.421425069021689
CP16,BQ,2026-04-05,2,5.410060596735769,3.69917489701695,8.561279762297652
CP16,CH,2026-04-05,2,2.428423673949995,1.3042412211583956,22.15481489147523
CP16,FI,2026-04-05,2,1.3659046678456013,1.0016734488196306,2.3710904241471433
CP16,GA,2026-04-05,2,1.3832340513880568,0.950398602678282,1.896556898354803
CP16,HT,2026-04-05,2,0.8850719414888681,0.8556835364485952,1.0683902510770575
CP16,LO,2026-04-05,2,13.122851618596291,9.892570585999765,31.941011277206904
CP16,ME,2026-04-05,2,6.976820462522849,3.765091542928722,27.671802816251617
CP16,PA,2026-04-05,2,1.171862481876613,0.9889564584533256,1.8240994819927077
CP16,PC,2026-04-05,2,55.26874499391641,47.98554262078392,77.94411739973512
CP16,SP,2026-04-05,2,1.0581173043921903,0.9414967585882472,1.089753133554342
CP16,TO,2026-04-05,2,1.0637032371311772,0.9660068857170625,1.1516734283710561
CP17,BQ,2026-04-05,2,2.4307641921595384,1.9145737099525166,4.025152413130799
CP17,CH,2026-04-05,2,2.6372877320091006,1.441989311925764,3.618980985693011
CP17,FI,2026-04-05,2,2.4028803454042134,1.8800298004351421,4.596200395964122
CP17,GA,2026-04-05,2,1.0604195413709496,0.9762105905113757,1.644363328288794
CP17,HT,2026-04-05,2,1.898665516261905,0.8595575785469464,2.496849345927019
CP17,LO,2026-04-05,2,1.5198742321811851,1.1743982680884597,9.080387908154394
CP17,ME,2026-04-05,2,3.2519202818562896,2.137784528079277,14.683967430051627
CP17,PA,2026-04-05,2,1.0586019020627349,0.8870358428182787,18.74542212882195
CP17,PC,2026-04-05,2,44.62381261014564,33.82565910520059,77.88491597757297
CP17,SP,2026-04-05,2,1.2528135198242751,0.9305118603536359,5.054303430254668
CP17,TO,2026-04-05,2,1.0864921539698968,1.0008510358236624,1.2739999470030852
CP202,BQ,2026-04-05,2,0.9821739883024291,0.9273345533705192,1.625875600558636
CP202,CH,2026-04-05,2,0.923712925011117,0.923712925011117,1.2319331729814451
CP202,FI,2026-04-05,2,2.038258514428084,0.9674054570273947,2.347305570502405
CP202,GA,2026-04-05,2,1.1014663724276592,0.9455166037844914,1.3653654560323412
CP202,LO,2026-04-05,2,1.6054857686265656,1.165237736677012,15.815358062743188
CP202,ME,2026-04-05,2,1.5647496953260562,1.1180449098883118,9.362381355575762
CP202,PA,2026-04-05,2,3.5096172468593485,1.1264605793965472,4.9190457065896265
CP202,PC,2026-04-05,2,59.16144270833418,55.79174745020661,82.94873950909839
CP202,SP,2026-04-05,2,1.1644525582920815,0.9890981673908686,1.3594780976094294
CP202,TO,2026-04-05,2,2.20069439121925,1.0245146606352793,4.448916957117292
CP28,BQ,2026-04-05,2,1.1393135285093081,0.9656295215138105,1.9006423413616282
CP28,CH,2026-04-05,2,1.067754467082391,0.9817098551762512,1.3298841777442214
CP28,FI,2026-04-05,2,1.732050659606023,1.000203445838335,1.732050659606023
CP28,GA,2026-04-05,2,1.1168330080288023,0.9939233503654963,1.5885627155533852
CP28,HT,2026-04-05,2,1.7494757367453158,0.9078347587609087,2.669506494360787
CP28,LO,2026-04-05,2,3.24519142436727,2.029736347625455,8.689802019439094
CP28,ME,2026-04-05,2,1.2367662948444256,1.1710444742258357,6.865805470032747
CP28,PA,2026-04-05,2,1.121913387829909,0.9329905138232408,1.7245069187656112
CP28,PC,2026-04-05,2,50.49021247759895,31.72292546431927,126.55945575631063
CP28,SP,2026-04-05,2,0.953331172001519,0.953331172001519,0.9900915962313996
CP28,TO,2026-04-05,2,6.0516379357934476,0.9004114608325209,61.78193525397239
CP32,BQ,2026-04-05,2,1.259289430818024,0.9840020851258005,2.4719030957372405
CP32,CH,2026-04-05,2,1.975832586379158,1.5425052860427793,2.6954000736253154
CP32,FI,2026-04-05,2,4.630539569456326,2.8171515349604443,6.740759924559426
CP32,GA,2026-04-05,2,1.4538097197307671,1.011643095843486,6.232638086610968
CP32,HT,2026-04-05,2,1.7195100383920705,1.0027168255510284,2.679497044396402
CP32,LO,2026-04-05,2,5.612456214013586,3.661316298182005,12.269521613158712
CP32,ME,2026-04-05,2,5.762074914513788,3.3813095075274573,14.890563309713357
CP32,PA,2026-04-05,2,3.7324913099380317,1.1546417641547742,4.593796223480114
CP32,PC,2026-04-05,2,33.03807005792728,18.45596925313935,69.65685369533116
CP32,SP,2026-04-05,2,1.3664887104976302,0.9919830886946523,10.115428530968286
CP32,TO,2026-04-05,2,1.262211654522785,1.0585625454878875,1.5201839667979222
CP33,BQ,2026-04-05,2,1.3837489936319485,0.991023966612951,1.86381200244578
CP33,CH,2026-04-05,2,3.6730371459410334,1.6734851492310105,5.003017340101318
CP33,FI,2026-04-05,2,1.4608550955722843,0.9947917171631999,2.0332973349923344
CP33,GA,2026-04-05,2,1.1707405514989162,0.9919625092349321,1.842006696858233
CP33,HT,2026-04-05,2,1.7241890334778762,0.9748026413639505,2.5203639751251496
CP33,LO,2026-04-05,2,3.2437381314838816,1.9597928806396945,17.64369805736581
CP33,ME,2026-04-05,2,1.3531191245370984,1.1229880981678577,11.480488558215862
CP33,PA,2026-04-05,2,1.2604224653087948,0.9965941294747993,2.180715650794939
CP33,PC,2026-04-05,2,32.92550202288532,16.25129276041886,63.94284009513568
CP33,SP,2026-04-05,2,0.9866451654000793,0.9866451654000793,1.0931970729092588
CP33,TO,2026-04-05,2,0.9660634467034043,0.9660634467034043,1.1319048538048555
CP35,BQ,2026-04-05,2,1.2402039793278463,0.9419306425855826,2.3838228526485454
CP35,CH,2026-04-05,2,1.1451912449382202,1.0503283496665958,1.7617895612561907
CP35,FI,2026-04-05,2,1.1545852392095604,1.0581524531198814,1.4442259695068285
CP35,GA,2026-04-05,2,0.9757397821632773,0.9757397821632773,1.1872589428167997
CP35,HT,2026-04-05,2,4.820882426316843,3.0437449755597425,5.25215748409486
CP35,LO,2026-04-05,2,20.071273745761143,10.620142125930537,28.60443434382003
CP35,ME,2026-04-05,2,8.048139911737655,4.432291007024981,17.98862308702124
CP35,PA,2026-04-05,2,3.579016573491001,1.294346073415086,3.8834630898072784
CP35,PC,2026-04-05,2,67.26036974515878,61.94371676226599,84.91812005446816
CP35,SP,2026-04-05,2,1.022875571049345,0.9934578134690624,1.1406672113597105
CP35,TO,2026-04-05,2,1.0068599947098296,0.9810145885174959,1.5238539597795233
CP36,BQ,2026-04-05,2,8.784221410845037,5.125850929449451,10.164815905199688
CP36,CH,2026-04-05,2,4.690615569458127,1.8989003142279255,6.692430313878201
CP36,FI,2026-04-05,2,1.3735499930042694,1.000479835658656,2.3472117363758276
CP36,GA,2026-04-05,2,6.124819366240953,2.491112446848909,8.592363022429822
CP36,HT,2026-04-05,2,1.0159077813576913,0.9463182671745067,1.2689782762427297
CP36,LO,2026-04-05,2,3.2869046306969696,2.8257725380410137,12.009590004216307
CP36,ME,2026-04-05,2,4.376955553893243,1.7361693264345055,106.16271438929701
CP36,PA,2026-04-05,2,2.3960745812759927,1.2912049729451058,4.456513343838786
CP36,PC,2026-04-05,2,37.463502263240585,31.672945087088944,71.88151840632663
CP36,SP,2026-04-05,2,0.9862617868091001,0.9574051354345546,2.744152129666373
CP36,TO,2026-04-05,2,2.0859014509388962,1.165006138619545,2.4577310193883335
CP37,BQ,2026-04-05,2,1.1174260190591814,0.999116369171676,1.4412073429263552
CP37,CH,2026-04-05,2,1.0701310308014733,1.0585862006914297,1.398569779734288
CP37,FI,2026-04-05,2,3.2193465161491064,2.000067275451126,4.319937255258712
CP37,GA,2026-04-05,2,1.1543152091147741,1.049025026026248,1.8655906144120469
CP37,HT,2026-04-05,2,1.0318156475809028,0.9817420930813896,1.5882026846483963
CP37,LO,2026-04-05,2,7.389514820908614,5.243654883325161,21.822407432762333
CP37,ME,2026-04-05,2,1.8207757442115506,1.8207757442115506,54.96227007878838
CP37,PA,2026-04-05,2,1.167106376181636,0.9942520814710417,4.2303148428390305
CP37,PC,2026-04-05,2,119.74546512255567,104.23945389245408,140.7340945502061
CP37,SP,2026-04-05,2,1.5432161147974537,0.9204499406167997,1.5432161147974537
CP37,TO,2026-04-05,2,1.0454034483750112,1.0256718788498471,1.610810765610349
CP39,BQ,2026-04-05,2,1.229241799209096,0.9904634455851742,2.092264370959524
CP39,CH,2026-04-05,2,1.2420041254689322,0.9895343004509288,2.0001617189677923
CP39,FI,2026-04-05,2,1.367055221804118,1.00204732922039,2.0227100340242936
CP39,GA,2026-04-05,2,1.3762114397481129,0.9700360198940412,1.7120569717987302
CP39,HT,2026-04-05,2,0.8623457532885173,0.8391350840329432,1.503099827147964
CP39,LO,2026-04-05,2,2.061081356834716,1.3062398438761236,16.47076698958954
CP39,ME,2026-04-05,2,2.96749581985588,2.1376933106003997,16.74736219153921
CP39,PA,2026-04-05,2,2.0700012053889547,1.1939231899348925,2.8467078000852646
CP39,PC,2026-04-05,2,42.39552707279845,23.045199408373332,81.57228920083936
CP39,SP,2026-04-05,2,1.3195980885394776,0.9508444251779515,1.430091419090638
CP39,TO,2026-04-05,2,0.9856580130653405,0.9708598654912751,1.4076051840668506
CP40,BQ,2026-04-05,2,1.9254945106226578,1.3054707324873283,2.325927940256984
CP40,CH,2026-04-05,2,1.642976009329908,0.9653557543711395,2.7605732814282855
CP40,GA,2026-04-05,2,1.6787331292832557,1.0331873721261169,2.6251313385724835
CP40,HT,2026-04-05,2,1.5793569714460227,0.9717490977018796,2.604446526410424
CP40,LO,2026-04-05,2,2.781378155898544,2.260135893942766,8.070735280579909
CP40,ME,2026-04-05,2,9.123848525719573,4.578784462247169,11.163938821741889
CP40,PA,2026-04-05,2,1.282058301328736,0.9323082244480894,13.569041978813553
CP40,PC,2026-04-05,2,27.387741134517096,14.213352872664231,65.63588133559672
CP40,SP,2026-04-05,2,2.680653113549401,1.3416153985292714,3.5340733762403067
CP40,TO,2026-04-05,2,1.8001654699268816,1.3397956299628502,1.994197574713249
CP44,BQ,2026-04-05,2,2.549607254519464,1.8222640136025,3.771650554662591
CP44,CH,2026-04-05,2,1.3836480275260519,1.0026438526692922,2.1606796441645333
CP44,FI,2026-04-05,2,3.9858651529953844,1.8584839956075512,5.253618360250444
CP44,GA,2026-04-05,2,7.564709380371727,3.0780062377418203,8.337979876999386
CP44,HT,2026-04-05,2,0.9372655627597684,0.8420782471453993,1.2842925346605951
CP44,LO,2026-04-05,2,6.882668979494981,3.001638944998628,16.984060697179004
CP44,ME,2026-04-05,2,1.040225057072464,0.8919211902559525,8.52785605343633
CP44,PA,2026-04-05,2,2.0948387539744977,1.3039329765547623,2.502295544905628
CP44,PC,2026-04-05,2,34.33201210690888,30.230333782989604,65.93841216349998
CP44,SP,2026-04-05,2,1.0343558993740956,0.9954573459186834,1.2283254079584611
CP44,TO,2026-04-05,2,1.0374204688605915,0.9997821237866777,1.070221763615708
CP45,BQ,2026-04-05,2,1.2158659905945455,0.9861595770089219,2.3222901831571825
CP45,CH,2026-04-05,2,2.0977040539831977,1.6143888430949964,2.936217751409277
CP45,FI,2026-04-05,2,2.9072198214180847,1.733019100057065,3.6438295691738944
CP45,GA,2026-04-05,2,1.1319150932367696,0.9260292027716333,1.1902433934238883
CP45,HT,2026-04-05,2,1.8858848330586662,0.9965192547125153,2.5997272160612557
CP45,LO,2026-04-05,2,6.7106331806103094,3.5737201572192343,20.981821759793515
