store_code,division_code,forecast_week,horizon,pred_revenue,pred_revenue_lower,pred_revenue_upper
CP28,BQ,2026-04-05,2,-145.1421183297782,3.2839255948885793,130.18283953995305
CP28,CH,2026-04-05,2,5230.812317535691,3672.8886632710587,11940.382282593733
CP28,FI,2026-04-05,2,1057.8707080705658,268.20707265146336,498.75685244066545
CP28,GA,2026-04-05,2,602.5297471317108,20.712134650355182,901.1031342478225
CP28,HT,2026-04-05,2,4159.86957628003,2060.3332151083646,7706.843114498063
CP28,LO,2026-04-05,2,-109.96862817413428,19.504607509735955,47.481587091374124
CP28,ME,2026-04-05,2,197.20839927805707,33.06899015357003,116.76840686080149
CP28,PA,2026-04-05,2,-12.156360477590662,33.5307991889984,138.19455611662644
CP28,PC,2026-04-05,2,947.0926785841579,511.78464768800586,1081.5908518108029
CP28,SP,2026-04-05,2,8823.050857874403,6555.5877867332,12179.210175742834
CP28,TO,2026-04-05,2,239.11042563084132,-32.18368871068542,503.3704958274267
CP32,BQ,2026-04-05,2,-147.16405611255357,12.42412086553965,98.19121916123724
CP32,CH,2026-04-05,2,7686.5576418433075,3901.2146387546168,10146.31139468111
CP32,FI,2026-04-05,2,6606.293346171939,3924.086020270591,8556.27068827383
CP32,GA,2026-04-05,2,3232.8899275053573,1712.6140851564694,6576.976843059164
CP32,HT,2026-04-05,2,2570.847574835767,1344.0171120268071,3305.969263102527
CP32,LO,2026-04-05,2,-22.315719271955274,38.47697793926794,14.334013225107169
CP32,ME,2026-04-05,2,3150.0070156533725,1545.6546278864976,5181.453405040306
CP32,PA,2026-04-05,2,920.7111292778801,384.8450833324559,1751.821534104158
CP32,PC,2026-04-05,2,334.42016666652603,362.5064855863318,1239.0376783473516
CP32,SP,2026-04-05,2,3219.059572484722,-488.74222629039355,3107.472036099787
CP32,TO,2026-04-05,2,745.9507529294366,347.59372099133,1623.2147678824017
CP33,BQ,2026-04-05,2,128.03800890974475,109.79634530214766,239.13825031537837
CP33,CH,2026-04-05,2,689.551002655267,92.90574297560882,604.5414418430148
CP33,FI,2026-04-05,2,71.17719575622515,7.1872255567375385,31.842335608108385
CP33,GA,2026-04-05,2,522.2526538541501,-10.915122640588725,807.7523724823584
CP33,HT,2026-04-05,2,4834.712955773386,2626.0505776899276,6046.110365645166
CP33,LO,2026-04-05,2,24.883402204247187,15.066779005030046,64.3943162278702
CP33,ME,2026-04-05,2,-100.31752245898714,9.976305387715799,192.92522581024357
CP33,PA,2026-04-05,2,1.4493280750339461,26.655914709835937,169.7570299236025
CP33,PC,2026-04-05,2,-49.665638306831156,162.62941521484402,316.219665061203
CP33,SP,2026-04-05,2,5271.280072979914,4283.687623035399,5493.318485230713
CP33,TO,2026-04-05,2,871.421204882214,625.3654304211466,878.5076337226346
