week_ending,store_code_x,city,division_code,units,revenue,n_transactions,store_code_y,province,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days,store_code,n_holidays,has_holiday,month
2023-11-05,CP32,St-Hyacinthe,SP,2.0,19498.0,2,CP32,QC,3.2,6.4,0.0,4.35,0.0,0.0,0.0,CP32,0,0,11
2023-11-05,CP33,Sorel-Tracy,CH,1.0,38.99,1,CP33,QC,2.5,6.3,0.0,4.39,0.0,0.0,0.0,CP33,0,0,11
2023-11-05,CP33,Sorel-Tracy,GA,3.0,2389.9700000000003,3,CP33,QC,2.5,6.3,0.0,4.39,0.0,0.0,0.0,CP33,0,0,11
2023-11-05,CP33,Sorel-Tracy,ME,2.0,2505.9799999999996,2,CP33,QC,2.5,6.3,0.0,4.39,0.0,0.0,0.0,CP33,0,0,11
2023-11-05,CP33,Sorel-Tracy,PC,123.0,2148.27,63,CP33,QC,2.5,6.3,0.0,4.39,0.0,0.0,0.0,CP33,0,0,11
2023-11-05,CP35,Saint-Jean-sur-Richelieu,CH,2.0,70.98,5,CP35,QC,4.3,6.9,0.8,4.69,1.0,0.0,1.0,CP35,0,0,11
2023-11-05,CP35,Saint-Jean-sur-Richelieu,FI,1.0,1249.99,1,CP35,QC,4.3,6.9,0.8,4.69,1.0,0.0,1.0,CP35,0,0,11
2023-11-05,CP35,Saint-Jean-sur-Richelieu,GA,3.0,999.97,3,CP35,QC,4.3,6.9,0.8,4.69,1.0,0.0,1.0,CP35,0,0,11
2023-11-05,CP35,Saint-Jean-sur-Richelieu,HT,1.0,5449.0,2,CP35,QC,4.3,6.9,0.8,4.69,1.0,0.0,1.0,CP35,0,0,11
2023-11-05,CP35,Saint-Jean-sur-Richelieu,LO,10.0,111.92000000000002,6,CP35,QC,4.3,6.9,0.8,4.69,1.0,0.0,1.0,CP35,0,0,11
2023-11-05,CP35,Saint-Jean-sur-Richelieu,ME,8.0,3369.1800000000003,3,CP35,QC,4.3,6.9,0.8,4.69,1.0,0.0,1.0,CP35,0,0,11
2023-11-05,CP35,Saint-Jean-sur-Richelieu,PC,376.0,6533.66,100,CP35,QC,4.3,6.9,0.8,4.69,1.0,0.0,1.0,CP35,0,0,11
2023-11-05,CP36,Saint-Eustache,BQ,2.0,61.98,2,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP36,Saint-Eustache,CH,1.0,37.99,1,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP36,Saint-Eustache,GA,1.0,399.99,1,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP36,Saint-Eustache,LO,15.0,147.43,12,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP36,Saint-Eustache,ME,3.0,247.98,4,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP36,Saint-Eustache,PA,0.0,14.999999999999991,2,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP36,Saint-Eustache,PC,303.0,4631.67,68,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP36,Saint-Eustache,TO,1.0,4000.0,1,CP36,QC,2.9,7.3,0.0,3.47,0.0,0.0,0.0,CP36,0,0,11
2023-11-05,CP37,Gatineau,GA,1.0,1599.99,1,CP37,QC,2.5,5.7,0.0,2.88,0.0,0.0,0.0,CP37,0,0,11
2023-11-05,CP37,Gatineau,LO,8.0,97.42,5,CP37,QC,2.5,5.7,0.0,2.88,0.0,0.0,0.0,CP37,0,0,11
2023-11-05,CP37,Gatineau,ME,5.0,1599.95,5,CP37,QC,2.5,5.7,0.0,2.88,0.0,0.0,0.0,CP37,0,0,11
2023-11-05,CP37,Gatineau,PC,367.0,7169.15,107,CP37,QC,2.5,5.7,0.0,2.88,0.0,0.0,0.0,CP37,0,0,11
2023-11-05,CP37,Gatineau,SP,1.0,12999.0,1,CP37,QC,2.5,5.7,0.0,2.88,0.0,0.0,0.0,CP37,0,0,11
2023-11-05,CP39,Joliette,FI,3.0,60.0,3,CP39,QC,1.7,6.4,0.0,3.26,0.0,0.0,0.0,CP39,0,0,11
2023-11-05,CP39,Joliette,GA,1.0,349.99,1,CP39,QC,1.7,6.4,0.0,3.26,0.0,0.0,0.0,CP39,0,0,11
2023-11-05,CP39,Joliette,HT,1.0,527.99,1,CP39,QC,1.7,6.4,0.0,3.26,0.0,0.0,0.0,CP39,0,0,11
2023-11-05,CP39,Joliette,PC,74.0,1329.79,36,CP39,QC,1.7,6.4,0.0,3.26,0.0,0.0,0.0,CP39,0,0,11
2023-11-05,CP44,St-Constant,FI,1.0,899.99,1,CP44,QC,4.5,7.1,0.5,4.1,1.0,0.0,1.0,CP44,0,0,11
2023-11-05,CP44,St-Constant,GA,2.0,399.99,2,CP44,QC,4.5,7.1,0.5,4.1,1.0,0.0,1.0,CP44,0,0,11
2023-11-05,CP44,St-Constant,HT,1.0,2349.0,2,CP44,QC,4.5,7.1,0.5,4.1,1.0,0.0,1.0,CP44,0,0,11
2023-11-05,CP44,St-Constant,LO,5.0,9.98,3,CP44,QC,4.5,7.1,0.5,4.1,1.0,0.0,1.0,CP44,0,0,11
2023-11-05,CP44,St-Constant,ME,2.0,32.98,2,CP44,QC,4.5,7.1,0.5,4.1,1.0,0.0,1.0,CP44,0,0,11
2023-11-05,CP44,St-Constant,PC,179.0,3164.71,56,CP44,QC,4.5,7.1,0.5,4.1,1.0,0.0,1.0,CP44,0,0,11
2023-11-05,CP44,St-Constant,SP,2.0,26998.0,2,CP44,QC,4.5,7.1,0.5,4.1,1.0,0.0,1.0,CP44,0,0,11
2023-11-05,CP45,Cowansville,BQ,6.0,282.49,5,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP45,Cowansville,FI,2.0,20.0,1,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP45,Cowansville,GA,2.0,119.98,1,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP45,Cowansville,LO,2.0,15.98,2,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP45,Cowansville,ME,1.0,3.99,2,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP45,Cowansville,PC,128.0,2393.92,51,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP45,Cowansville,SP,1.0,5999.0,1,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP45,Cowansville,TO,1.0,449.99,1,CP45,QC,4.7,6.2,0.5,4.72,1.0,0.0,1.0,CP45,0,0,11
2023-11-05,CP48,Beloeil,BQ,0.0,-74.99,1,CP48,QC,3.4,6.5,0.0,4.33,0.0,0.0,0.0,CP48,0,0,11
2023-11-05,CP48,Beloeil,CH,1.0,39.99,1,CP48,QC,3.4,6.5,0.0,4.33,0.0,0.0,0.0,CP48,0,0,11
2023-11-05,CP48,Beloeil,FI,1.0,14.99,1,CP48,QC,3.4,6.5,0.0,4.33,0.0,0.0,0.0,CP48,0,0,11
