store_code,division_code,n_weeks,avg_units,avg_revenue,std_units,total_units,total_revenue,pct_zero,max_units,cv,asp,demand_class,adi,cv2,tier
CP13,CH,91,6.395604395604396,9548.89065934066,4.871411205251218,582.0,868949.0499999999,2.197802197802198,22.0,0.7616811334671147,1493.0396048109965,Erratic,1.0224719101123596,0.5801581490797487,Tier 2
CP13,FI,95,3.2526315789473683,1652.750947368421,2.931735456748079,309.0,157011.34,2.1052631578947367,19.0,0.9013426161523221,508.1273139158576,Erratic,1.021505376344086,0.8124185116923124,Tier 2
CP13,GA,82,6.878048780487805,10689.93487804878,5.464566543081339,564.0,876574.6599999999,2.4390243902439024,21.0,0.7944937172565066,1554.210390070922,Erratic,1.025,0.6312202667600619,Tier 2
CP13,HT,82,7.609756097560975,15681.529999999999,6.45163602097829,624.0,1285885.46,0.0,33.0,0.8478111437824035,2060.7138782051284,Erratic,1.0,0.7187837355216273,Tier 2
CP13,LO,111,33.513513513513516,382.7047747747748,41.45268164696726,3720.0,42480.23,0.0,180.0,1.2368945330143455,11.419416666666667,Erratic,1.0,1.5299080858007759,Tier 1
CP13,ME,109,47.22935779816514,12060.756513761467,55.665773949515625,5148.0,1314622.46,0.9174311926605505,221.0,1.1786265269031087,255.36566822066823,Erratic,1.0092592592592593,1.3891604899196843,Tier 1
CP13,PA,49,5.836734693877551,1054.4524489795917,6.128305022514757,286.0,51668.17,6.122448979591836,21.0,1.0499543570042766,180.65793706293707,Erratic,1.065217391304348,1.102404151792264,Tier 2
CP13,PC,114,455.32456140350877,9682.97298245614,486.23450214152314,51907.0,1103858.92,0.0,2402.0,1.0678855114750156,21.26608973741499,Erratic,1.0,1.1403794656182558,Tier 1
CP13,SP,88,2.9431818181818183,26990.04579545454,1.8529749583972341,259.0,2375124.03,2.272727272727273,10.0,0.6295822252469366,9170.36305019305,Smooth,1.0232558139534884,0.3963737783468845,Tier 2
CP13,TO,61,6.098360655737705,2532.41131147541,5.33761781457105,372.0,154477.09,1.639344262295082,18.0,0.875254534109769,415.2609946236559,Erratic,1.0166666666666666,0.7660704994797087,Tier 2
CP15,BQ,95,12.147368421052631,2325.628105263158,13.359965935945734,1154.0,220934.67,3.1578947368421053,73.0,1.09982388554146,191.45118717504334,Erratic,1.0326086956521738,1.2096125792075143,Tier 2
CP15,CH,87,6.551724137931035,10252.112873563217,7.792003385537286,570.0,891933.82,0.0,56.0,1.1893057798977962,1564.7961754385965,Erratic,1.0,1.4144482380983052,Tier 2
CP15,FI,112,5.294642857142857,1659.953125,3.7910239954876213,593.0,185914.75,0.8928571428571428,18.0,0.7160112773939521,313.5155986509275,Erratic,1.009009009009009,0.512672149355319,Tier 2
CP15,GA,94,12.127659574468085,12177.809255319149,15.97998347567557,1140.0,1144714.07,2.127659574468085,130.0,1.3176477602750032,1004.1351491228071,Erratic,1.0217391304347827,1.7361956201577322,Tier 2
CP15,HT,85,6.2,10315.876,6.546173000492802,527.0,876849.46,2.3529411764705883,31.0,1.0558343549181939,1663.8509677419354,Erratic,1.0240963855421688,1.1147861850255185,Tier 2
CP15,LO,123,62.51219512195122,621.9835772357724,96.64887996040592,7689.0,76503.98,0.0,558.0,1.5460804051411012,9.949795812199245,Erratic,1.0,2.3903646191612715,Tier 1
CP15,ME,116,75.34482758620689,14345.383620689656,101.28977831155916,8740.0,1664064.5,0.8620689655172413,699.0,1.3443494604280164,190.39639588100687,Erratic,1.008695652173913,1.8072754717530988,Tier 1
CP15,PA,67,10.686567164179104,1470.7023880597014,10.248738215350429,716.0,98537.06,1.4925373134328357,38.0,0.9590299726654731,137.62159217877095,Erratic,1.0151515151515151,0.919738488470738,Tier 2
CP15,PC,125,610.248,15018.63696,796.6564570632971,76281.0,1877329.6199999999,0.0,4232.0,1.3054634461125592,24.610710661894835,Erratic,1.0,1.7042348091360786,Tier 1
CP15,SP,56,2.0714285714285716,20703.683392857143,1.1886913026463235,116.0,1159406.27,1.7857142857142856,5.0,0.5738509736913285,9994.881637931034,Smooth,1.018181818181818,0.32930494000648586,Tier 2
CP15,TO,56,5.25,2746.9473214285713,5.514443844041836,294.0,153829.05,5.357142857142857,21.0,1.0503702560079688,523.2280612244898,Erratic,1.0566037735849056,1.103277674706246,Tier 2
CP16,BQ,114,21.54385964912281,5862.066403508771,25.33113106239991,2456.0,668275.57,0.0,101.0,1.1757935427986927,272.0991734527687,Erratic,1.0,1.3824904552871013,Tier 1
CP16,CH,97,10.505154639175258,16995.937216494844,9.172108662657001,1019.0,1648605.91,2.0618556701030926,39.0,0.8731055351106272,1617.8664474975465,Erratic,1.0210526315789474,0.7623132754408146,Tier 2
CP16,FI,113,5.460176991150442,1295.9302654867256,4.754763397730158,617.0,146440.12,1.7699115044247788,33.0,0.8708075590656529,237.34217179902754,Erratic,1.018018018018018,0.7583058049258805,Tier 2
CP16,GA,97,14.31958762886598,30651.816391752578,14.411039165451557,1389.0,2973226.19,2.0618556701030926,58.0,1.006386464397985,2140.5516126709863,Erratic,1.0210526315789474,1.0128137157234767,Tier 2
CP16,HT,94,10.446808510638299,19658.73670212766,10.969769820735838,982.0,1847921.25,2.127659574468085,50.0,1.050059432942127,1881.793533604888,Erratic,1.0217391304347827,1.102624812710741,Tier 2
CP16,LO,122,83.92622950819673,1077.5877868852458,100.80389012833159,10239.0,131465.71,0.0,420.0,1.2011011422654998,12.839702119347592,Erratic,1.0,1.4426439539514884,Tier 1
CP16,ME,114,70.2719298245614,24769.989385964913,84.79723708636831,8011.0,2823778.79,0.8771929824561403,336.0,1.2067014140364485,352.48767819248536,Erratic,1.008849557522124,1.4561283026375642,Tier 1
CP16,PA,54,5.037037037037037,1104.702962962963,4.476196848332016,272.0,59653.96,0.0,26.0,0.8886567272423855,219.3160294117647,Erratic,1.0,0.7897107788731476,Tier 2
CP16,PC,122,611.3032786885246,13185.897213114753,804.6968515934234,74579.0,1608679.46,0.0,4206.0,1.3163627280386925,21.57013985170088,Erratic,1.0,1.7328108317694686,Tier 1
CP16,SP,88,3.4545454545454546,34684.9425,2.638830683696944,304.0,3052274.94,6.8181818181818175,12.0,0.7638720400175364,10040.378092105262,Erratic,1.0731707317073171,0.5835004935205527,Tier 2
CP16,TO,68,7.073529411764706,2090.3391176470586,8.545429391009792,481.0,142143.06,1.4705882352941175,36.0,1.2080856519514884,295.5157172557173,Erratic,1.0149253731343284,1.4594709424510528,Tier 2
CP17,BQ,97,9.65979381443299,1984.8240206185567,9.27012068190294,937.0,192527.93,0.0,39.0,0.9596603053837622,205.47271077908218,Erratic,1.0,0.9209479017292558,Tier 2
CP17,CH,103,14.475728155339805,13587.368446601942,11.583325287226016,1491.0,1399498.95,2.912621359223301,54.0,0.8001894732288931,938.6310865191147,Erratic,1.03,0.6403031930663334,Tier 2
CP17,FI,117,9.264957264957266,3074.171111111111,7.425948403835959,1084.0,359678.01999999996,0.0,45.0,0.8015091911889365,331.8062915129151,Erratic,1.0,0.6424169835603432,Tier 2
CP17,GA,94,12.98904255319149,16152.432446808509,11.89464911496183,1220.97,1518328.65,1.0638297872340425,48.99,0.9157448723608376,1243.5429617435316,Erratic,1.010752688172043,0.8385886712551667,Tier 2
CP17,HT,88,12.215909090909092,20175.338977272728,11.770261438747577,1075.0,1775429.83,2.272727272727273,46.0,0.9635190759160807,1651.5626325581395,Erratic,1.0232558139534884,0.928369009654178,Tier 2
CP17,LO,118,59.6271186440678,631.1474576271186,76.97860693049829,7036.0,74475.4,0.0,419.0,1.2909999456791923,10.58490619670267,Erratic,1.0,1.6666808597436775,Tier 1
CP17,ME,112,57.5625,14457.333125000001,63.84056453525595,6447.0,1619221.31,0.0,237.0,1.1090651819371284,251.15888165038004,Erratic,1.0,1.2300255777852358,Tier 1
CP17,PA,55,7.6,1327.8834545454545,8.054444367805521,418.0,73033.59,3.6363636363636362,30.0,1.059795311553358,174.7215071770335,Erratic,1.0377358490566038,1.1231661023904793,Tier 2
CP17,PC,120,628.5583333333333,16639.429333333333,805.3436115740169,75427.0,1996731.52,0.0,4396.0,1.281255165774617,26.472370901666512,Erratic,1.0,1.6416147998241413,Tier 1
