store_code,city,division_code,n_weeks,n_nonzero,avg_units,avg_revenue,median_units,std_units,total_units,cv,zero_rate,tier,prophet_eligible
CP06,Granby,HT,93,92,5.967741935483871,11120.987096774194,5.0,4.792320879379812,555.0,0.8030375527609415,0.010752688172043001,naive,False
CP06,Granby,LO,125,125,66.72,980.0749599999999,26.0,85.86266228223737,8340.0,1.2869104059088334,0.0,naive,False
CP06,Granby,ME,125,122,185.032,31451.12256,96.0,224.37543911359674,23129.0,1.212630459129214,0.02400000000000002,xgboost,False
CP06,Granby,PA,74,74,12.175675675675675,3598.4150000000004,6.0,19.04094946126699,901.0,1.5638515650763123,0.0,naive,False
CP06,Granby,PC,125,125,811.616,19750.321359999998,450.0,952.1362973724893,101452.0,1.1731364307412486,0.0,xgboost,False
CP06,Granby,SP,103,98,4.194174757281553,32101.79145631068,4.0,3.0423747575272357,432.0,0.7253810185770956,0.04854368932038833,naive,False
CP06,Granby,TO,103,99,8.281553398058252,8414.700582524272,7.0,6.297241032557091,853.0,0.7603937002970462,0.03883495145631066,naive,False
CP07,Laval,BQ,110,110,18.836363636363636,4100.248909090909,12.0,18.334069790854215,2072.0,0.9733338209430327,0.0,naive,False
CP07,Laval,CH,94,94,9.22340425531915,20074.825106382978,6.0,8.64366789841247,867.0,0.9371450777978918,0.0,naive,False
CP07,Laval,FI,124,123,11.524193548387096,4907.413548387097,9.0,8.552528946274816,1429.0,0.7421368714752115,0.008064516129032251,naive,False
CP07,Laval,GA,111,110,21.26126126126126,30028.937477477477,16.0,19.584182723315596,2360.0,0.9211204585966234,0.009009009009009028,naive,False
CP07,Laval,HT,91,91,8.747252747252746,24378.72945054945,7.0,7.140795795355347,796.0,0.8163472580117295,0.0,naive,False
CP07,Laval,LO,125,124,131.328,1895.9556,32.0,184.65468102868783,16416.0,1.4060572081253642,0.008000000000000007,xgboost,False
CP07,Laval,ME,125,124,257.824,59631.422880000006,87.0,283.6820705671938,32228.0,1.100293496987068,0.008000000000000007,xgboost,False
