week_ending,store_code_x,city,division_code,units,revenue,n_transactions,revenue_clean,is_return,is_active_product,weeks_with_sales,store_code_y,province,avg_temp,max_temp,total_precip,sunshine_hours,rain_days,snow_days,bad_weather_days,store_code,n_holidays,has_holiday,month,week_of_yr,year,sin_week_1,cos_week_1,sin_week_2,cos_week_2,sin_month_1,cos_month_1,year_idx,quarter,is_summer_peak,is_spring_opening,is_fall_closing,is_winter_off,avg_temp_dev,avg_temp_dev_z,total_precip_dev,total_precip_dev_z,sunshine_hours_dev,sunshine_hours_dev_z,rain_days_dev,rain_days_dev_z,snow_days_dev,snow_days_dev_z,bad_weather_days_dev,bad_weather_days_dev_z,temp_above_20,temp_above_25,temp_below_0,cooling_degree_days,heating_degree_days,avg_temp_lag_1w,avg_temp_lag_2w,temp_shock,temp_warming,precip_x_summer,bad_wx_x_summer,sunshine_x_summer,temp_above_25_x_sum,precip_x_spring,temp_warming_x_spr,units_lag_1w,units_lag_2w,units_lag_4w,units_lag_52w,units_roll4_mean,units_roll4_std,units_roll8_mean,units_roll8_std,units_roll12_mean,units_roll12_std,units_volatility,revenue_lag_1w,revenue_lag_4w,revenue_roll4_mean,avg_price_per_unit,price_lag_1w
2025-09-07,CP47,Riviere-du-Loup,CH,1.0,0.0,2,0.0,0,1,41,CP47,QC,17.86,25.1,9.2,72.6,3.0,0.0,3.0,CP47,1,1,9,36,2025,-0.9350162426854147,-0.3546048870425359,0.6631226582407956,-0.7485107481711007,-1.0,-1.8369701987210297e-16,2,3,0,0,1,0,3.1838235294117663,1.097701676989709,-0.09999999999999964,-0.006358846466317496,-0.782058823529411,-0.06429822366782335,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.14000000000000057,15.71,16.27,2.1499999999999986,2.1499999999999986,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,5.0,,2.25,1.892969448600092,3.875,3.2265638511757815,5.666666666666667,4.0526833609649815,0.8413197549333743,0.0,10899.95,4492.2075,0.0,0.0
2025-09-14,CP47,Riviere-du-Loup,CH,3.0,4544.98,3,4544.98,0,1,41,CP47,QC,13.53,18.9,2.1,80.86,3.0,0.0,3.0,CP47,0,0,9,37,2025,-0.970941817426052,-0.23931566428755774,0.4647231720437685,-0.8854560256532099,-1.0,-1.8369701987210297e-16,2,3,0,0,1,0,-1.1461764705882338,-0.3951726037162946,-7.199999999999999,-0.4578369455748613,7.477941176470594,0.6148109577865406,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,4.470000000000001,17.86,15.71,4.33,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,1.0,2.0,,1.25,0.5000000000000039,3.5,3.3806170189140667,5.083333333333333,4.187825066532601,0.40000000000000313,0.0,4968.89,1767.22,1514.993333333333,0.0
2025-09-21,CP47,Riviere-du-Loup,CH,11.0,9189.94,9,9189.94,0,1,41,CP47,QC,13.69,21.1,1.2,81.83,1.0,0.0,1.0,CP47,0,0,9,38,2025,-0.992708874098054,-0.12053668025532356,0.23931566428755877,-0.9709418174260518,-1.0,-1.8369701987210297e-16,2,3,0,0,1,0,-0.9861764705882337,-0.34000865800891333,-8.1,-0.515066563771719,8.447941176470593,0.6945610674730699,-2.0,-1.4862190849645824,0.0,0.0,-2.0,-1.3696967061151506,0,0,0,0.0,4.3100000000000005,13.53,17.86,0.16000000000000014,0.16000000000000014,0.0,0.0,0.0,0,0.0,0.0,3.0,1.0,1.0,,1.5,1.0,3.375,3.3779748793788107,4.166666666666667,3.128558579902058,0.6666666666666666,4544.98,2099.99,1661.2424999999998,835.449090909091,1514.993333333333
2025-09-28,CP47,Riviere-du-Loup,CH,4.0,0.0,4,0.0,0,1,41,CP47,QC,13.37,19.6,23.1,59.9,5.0,0.0,5.0,CP47,0,0,9,39,2025,-1.0,-1.8369701987210297e-16,3.6739403974420594e-16,-1.0,-1.0,-1.8369701987210297e-16,2,3,0,0,1,0,-1.306176470588234,-0.4503365494236758,13.800000000000002,0.8775208123518178,-13.482058823529407,-1.1084491443058881,2.0,1.4862190849645824,0.0,0.0,2.0,1.3696967061151506,0,0,0,0.0,4.630000000000001,13.69,13.53,0.3200000000000003,0.0,0.0,0.0,0.0,0,0.0,0.0,11.0,3.0,1.0,,4.0,4.760952285695234,4.375,4.307385683749649,4.416666666666667,3.553700589355816,1.1902380714238086,9189.94,0.0,3433.73,0.0,835.449090909091
2025-10-05,CP47,Riviere-du-Loup,CH,1.0,44.99,1,44.99,0,1,41,CP47,QC,11.94,22.2,7.5,65.78,3.0,0.0,3.0,CP47,0,0,10,40,2025,-0.992708874098054,0.12053668025532321,-0.23931566428755807,-0.9709418174260519,-0.8660254037844386,0.5,2,4,0,0,1,0,2.2713793103448268,0.7831140309795686,-12.779310344827586,-0.8126167242818181,12.46206896551724,1.024589038062983,-0.9655172413793105,-0.7174850755001434,0.0,0.0,-0.9655172413793105,-0.6612328926073142,0,0,0,0.0,6.0600000000000005,13.37,13.69,1.4299999999999997,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,11.0,1.0,,4.75,4.349329450233297,3.5,3.380617018914067,4.166666666666667,3.4597249846912637,0.915648305312273,0.0,0.0,3433.73,44.99,0.0
2025-10-12,CP47,Riviere-du-Loup,CH,4.0,159.92000000000002,5,159.92000000000002,0,1,41,CP47,QC,11.0,23.6,22.0,66.58,3.0,0.0,3.0,CP47,0,0,10,41,2025,-0.9709418174260521,0.23931566428755738,-0.46472317204376784,-0.8854560256532102,-0.8660254037844386,0.5,2,4,0,0,1,0,1.3313793103448273,0.4590258499487042,1.7206896551724142,0.10941601333422216,13.262068965517237,1.0903623244023886,-0.9655172413793105,-0.7174850755001434,0.0,0.0,-0.9655172413793105,-0.6612328926073142,0,0,0,0.0,7.0,11.94,13.37,0.9399999999999995,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,4.0,3.0,,4.75,4.349329450233297,3.0,3.422613871631698,3.9166666666666665,3.57919069911147,0.915648305312273,44.99,4544.98,3444.9775,39.980000000000004,44.99
2025-10-19,CP47,Riviere-du-Loup,CH,4.0,6009.95,6,6009.95,0,1,41,CP47,QC,7.69,17.0,3.7,51.45,3.0,0.0,3.0,CP47,1,1,10,42,2025,-0.9350162426854148,0.35460488704253557,-0.6631226582407952,-0.7485107481711012,-0.8660254037844386,0.5,2,4,0,0,1,0,-1.9786206896551723,-0.6821782768727441,-16.579310344827586,-1.0542528900018837,-1.8679310344827584,-0.1535749534916209,-0.9655172413793105,-0.7174850755001434,0.0,0.0,-0.9655172413793105,-0.6612328926073142,0,0,0,0.0,10.309999999999999,11.0,11.94,3.3099999999999996,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,1.0,11.0,,5.0,4.242640687119286,3.25,3.4121631178560543,3.9166666666666665,3.57919069911147,0.8485281374238571,159.92000000000002,9189.94,2348.7125,1502.4875,39.980000000000004
2025-10-26,CP47,Riviere-du-Loup,CH,4.0,164.96,4,164.96,0,1,41,CP47,QC,8.8,15.8,52.9,31.89,7.0,0.0,7.0,CP47,0,0,10,43,2025,-0.8854560256532101,0.464723172043768,-0.8229838658936557,-0.5680647467311568,-0.8660254037844386,0.5,2,4,0,0,1,0,-0.868620689655172,-0.299478403527787,32.62068965517241,2.0742995714263355,-21.42793103448276,-1.7617318044900898,3.0344827586206895,2.2549530944290215,0.0,0.0,3.0344827586206895,2.078160519622987,0,0,0,0.0,9.2,7.69,11.0,1.1100000000000003,1.1100000000000003,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,4.0,,3.25,1.5000000000000016,3.625,3.292307050426148,4.0,3.567530340063378,0.461538461538462,6009.95,0.0,1553.715,41.24,1502.4875
2025-11-02,CP47,Riviere-du-Loup,CH,1.0,44.99,1,44.99,0,1,41,CP47,QC,5.1,10.0,42.2,37.56,4.0,0.0,4.0,CP47,0,0,11,44,2025,-0.8229838658936571,0.5680647467311548,-0.935016242685414,-0.35460488704253784,-0.5000000000000004,0.8660254037844384,2,4,0,0,0,1,2.823035714285714,0.9733111804553451,19.328571428571433,1.229074181275372,6.556428571428572,0.53904731724054,2.25,1.6719964705851553,-2.9107142857142856,-2.4598497201513467,-0.6607142857142856,-0.45248909041304075,0,0,0,0.0,12.9,8.8,7.69,3.700000000000001,0.0,0.0,0.0,0.0,0,0.0,0.0,4.0,4.0,1.0,,3.25,1.5000000000000016,4.0,3.1167748898959196,3.4166666666666665,2.8109633849474354,0.461538461538462,164.96,44.99,1594.955,44.99,41.24
2025-11-09,CP47,Riviere-du-Loup,CH,1.0,36.99,1,36.99,0,1,41,CP47,QC,2.94,10.5,10.9,41.95,3.0,4.0,7.0,CP47,0,0,11,45,2025,-0.7485107481711011,0.6631226582407952,-0.992708874098054,-0.12053668025532294,-0.5000000000000004,0.8660254037844384,2,4,0,0,0,1,0.6630357142857144,0.22859791340569913,-11.97142857142857,-0.7612447626820115,10.946428571428573,0.8999782260280287,1.25,0.9288869281028641,1.0892857142857144,0.9205572572345532,2.3392857142857144,1.6020559687596851,0,0,0,0.0,15.06,5.1,8.8,2.1599999999999997,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,4.0,4.0,,3.25,1.5,4.0,3.1167748898959196,3.0833333333333335,2.8431203515386625,0.46153846153846156,44.99,159.92000000000002,1594.955,36.99,44.99
