store_code,division_code,actual_revenue,pred_revenue,revenue_wmape,n_weeks
CP08,SP,5499.0,4976.227699646757,0.09506679402677629,1
CP08,TO,13200.61,15934.729448891532,0.45329155938729987,8
CP10,BQ,33757.82,38088.99287271774,0.37741971326732043,20
CP10,CH,8898.99,10428.255038151552,0.17184703411865304,3
CP10,FI,43992.02000000001,49199.066412807646,0.31968597628676404,22
CP10,GA,55549.64000000001,44351.69858629756,0.39608478123980395,10
CP10,HT,18911.0,16258.346116865023,0.42240767295497894,6
CP10,LO,2719.01,2506.407514177589,1.9408733785381949,26
CP10,ME,56419.87,71747.12062889655,0.38962785895409413,23
CP10,PA,4521.31,5729.390193929281,0.7286375584821033,10
CP10,PC,144294.13,145930.76098942902,0.20950783053470512,26
CP10,SP,244394.74000000005,228056.45351232242,0.27626733581328633,23
CP10,TO,19191.190000000002,30494.927176797577,0.5422935676140201,11
CP12,BQ,6306.269999999999,9131.725692944938,0.6765989129022004,11
CP12,CH,9463.359999999999,9384.775595191588,0.3464550301477336,9
CP12,FI,11144.289999999999,18689.51538375918,0.9052585872587986,11
CP12,GA,20759.879999999997,34560.17734218137,0.7029612722546971,9
CP12,HT,8514.86,7898.142715022208,0.1333324132859386,2
CP12,LO,798.1300000000001,316.9935546116796,3.5965585439929573,20
CP12,ME,32864.229999999996,31235.514352565548,0.66027428264709,18
CP12,PA,391.71000000000004,3999.2043086623407,5.822766033923376,10
CP12,PC,45597.33,39908.58386656853,0.2380781487974794,26
CP12,SP,139220.25999999998,214253.5313103838,0.6443794479128929,12
CP12,TO,3259.9399999999996,4570.201330553719,0.760548112764405,7
CP13,BQ,5208.779999999999,4329.9998457793245,0.4618063848825211,11
CP13,CH,929.7699999999998,4744.118252070575,0.9386470873001339,9
CP13,FI,55577.85,60865.38651287993,0.37067345800093715,23
CP13,GA,10309.96,13719.244597516494,0.41476400870379015,8
CP13,HT,8711.0,8174.562034414943,0.08676714291361824,2
CP13,LO,1627.9,1421.9612874498584,3.7404446498823436,25
CP13,ME,21401.39,26953.111952671246,0.6340753808293802,22
CP13,PA,2807.0,3724.047739599649,0.4252758336920699,4
CP13,PC,69922.16999999998,78030.20896831636,0.1559988381564492,26
CP13,SP,198749.65,194156.623829241,0.14886766573556393,11
CP13,TO,1992.45,3618.3675115265582,0.8178986724912042,6
CP15,BQ,2348.209999999999,2560.1815925563733,1.0322160127143067,15
