store_code,city,division_code,wMAPE,RMSE,MAE,Bias,Avg_Sales,model
CP202,Nepean,PC,0.0996,1062.0,1062.0,-1062.0,10665.95,Prophet
CP202,Nepean,PI,0.5409,620.24,620.24,620.24,1146.58,Prophet
CP202,Nepean,SP,15.6436,153291.7,153291.7,153291.7,9799.0,Prophet
CP37,Gatineau,AP,0.052,423.68,423.68,-423.68,8148.57,Prophet
CP37,Gatineau,AS,0.9581,3572.24,3572.24,-3572.24,3728.55,Prophet
CP37,Gatineau,CH,3.4727,5556.27,5556.27,5556.27,1599.99,Prophet
CP37,Gatineau,HT,1.0,3499.0,3499.0,-3499.0,3499.0,Prophet
CP37,Gatineau,LO,0.9989,444.74,444.74,-444.74,445.22,Prophet
CP37,Gatineau,ME,0.3087,4638.2,4638.2,-4638.2,15024.29,Prophet
CP37,Gatineau,PA,1.2858,2917.28,2917.28,2917.28,2268.87,Prophet
CP37,Gatineau,PC,0.1475,3219.53,3219.53,-3219.53,21824.81,Prophet
CP37,Gatineau,PI,0.4048,1021.85,1021.85,-1021.85,2524.49,Prophet
CP44,St-Constant,AP,1.0,6408.4,6408.4,-6408.4,6408.4,Prophet
CP44,St-Constant,CH,3.6781,9761.42,9761.42,9761.42,2653.96,Prophet
CP44,St-Constant,GA,1.0,689.97,689.97,-689.97,689.97,Prophet
CP44,St-Constant,IN,38.2856,5742.84,5742.84,5742.84,150.0,Prophet
CP44,St-Constant,ME,3.1493,5211.8,5211.8,5211.8,1654.93,Prophet
CP44,St-Constant,PC,0.016,113.74,113.74,113.74,7094.55,Prophet
CP44,St-Constant,PI,1.0,214.09,214.09,-214.09,214.09,Prophet
CP48,Beloeil,AP,0.1895,1353.98,1353.98,-1353.98,7144.88,Prophet
CP48,Beloeil,AS,1.0,806.55,806.55,-806.55,806.55,Prophet
CP48,Beloeil,BQ,0.1848,288.95,288.95,-288.95,1563.76,Prophet
CP48,Beloeil,CH,0.1225,439.61,439.61,439.61,3587.45,Prophet
CP48,Beloeil,GA,0.0372,14.87,14.87,-14.87,399.99,Prophet
CP48,Beloeil,IN,1.0,280.0,280.0,-280.0,280.0,Prophet
CP48,Beloeil,LO,8.8973,1426.15,1426.15,1426.15,160.29,Prophet
CP48,Beloeil,ME,1.0,2514.83,2514.83,-2514.83,2514.83,Prophet
CP48,Beloeil,PA,1.0,213.97,213.97,-213.97,213.97,Prophet
CP48,Beloeil,PC,0.5129,6314.11,6314.11,-6314.11,12310.93,Prophet
CP48,Beloeil,PI,0.1607,247.13,247.13,-247.13,1537.47,Prophet
