No. Article,Division,Catégorie,Groupe de produit,Répliqué-Franchisé
152720,PI,ZME,PM5,0.0
152721,PI,ZME,PM5,0.0
152737,PI,ZME,PM5,0.0
152738,PI,ZME,PM5,0.0
152739,PI,ZME,PM5,0.0
152772,PI,ZME,PM5,0.0
152774,PI,ZME,PM5,0.0
152827,PI,ZME,PM5,0.0
152828,PI,ZME,PM5,0.0
152829,PI,ZME,PM5,0.0
152830,PI,ZME,PM5,0.0
152831,PI,ZME,PM5,0.0
152983,PI,ZME,PM5,0.0
153307,PI,ZME,PM5,0.0
153526,PI,ZME,PM5,0.0
153528,PI,ZME,PM5,0.0
154811,PI,ZME,PM5,0.0
154892,PI,ZME,PM5,0.0
155478,PI,ZME,PM5,0.0
155479,PI,ZME,PM5,0.0
155480,PI,ZME,PM5,0.0
155481,PI,ZME,PM5,0.0
155482,PI,ZME,PM5,0.0
155483,PI,ZME,PM5,0.0
155572,PI,ZME,PM5,0.0
155646,PI,ZME,PM5,0.0
156211,PI,ZME,PM5,0.0
157121,PI,ZME,PM5,0.0
160586,PI,ZME,PM5,0.0
167533,PI,ZME,PM5,0.0
168148,PI,ZME,PM5,0.0
168149,PI,ZME,PM5,0.0
168150,PI,ZME,PM5,0.0
168595,PI,ZME,PM5,0.0
172435,PI,ZME,PM5,0.0
172436,PI,ZME,PM5,0.0
172438,PI,ZME,PM5,0.0
172472,PI,ZME,PM5,0.0
172473,PI,ZME,PM5,0.0
172474,PI,ZME,PM5,0.0
172475,PI,ZME,PM5,0.0
172975,PI,ZME,PM5,0.0
172976,PI,ZME,PM5,0.0
172977,PI,ZME,PM5,0.0
177211,PI,ZME,PM5,0.0
178242,PI,ZME,PM5,0.0
178243,PI,ZME,PM5,0.0
178245,PI,ZME,PM5,0.0
178248,PI,ZME,PM5,0.0
178249,PI,ZME,PM5,0.0
178252,PI,ZME,PM5,0.0
178254,PI,ZME,PM5,0.0
178261,PI,ZME,PM5,0.0
178317,PI,ZME,PM5,0.0
178318,PI,ZME,PM5,0.0
178319,PI,ZME,PM5,0.0
178320,PI,ZME,PM5,0.0
178754,PI,ZME,PM5,0.0
179945,PI,ZME,PM5,0.0
179946,PI,ZME,PM5,0.0
182424,PI,ZME,PM5,0.0
182954,PI,ZME,PM5,0.0
183075,PI,ZME,PM5,0.0
183076,PI,ZME,PM5,0.0
183843,PI,ZME,PM5,0.0
183844,PI,ZME,PM5,0.0
183846,PI,ZME,PM5,0.0
183847,PI,ZME,PM5,0.0
183848,PI,ZME,PM5,0.0
183849,PI,ZME,PM5,0.0
183850,PI,ZME,PM5,0.0
183851,PI,ZME,PM5,0.0
183852,PI,ZME,PM5,0.0
183853,PI,ZME,PM5,0.0
183854,PI,ZME,PM5,0.0
183995,PI,ZME,PM5,0.0
183996,PI,ZME,PM5,0.0
183997,PI,ZME,PM5,0.0
183998,PI,ZME,PM5,0.0
183999,PI,ZME,PM5,0.0
184000,PI,ZME,PM5,0.0
184001,PI,ZME,PM5,0.0
184002,PI,ZME,PM5,0.0
184003,PI,ZME,PM5,0.0
184038,PI,ZME,PM5,0.0
184039,PI,ZME,PM5,0.0
184040,PI,ZME,PM5,0.0
184041,PI,ZME,PM5,0.0
184042,PI,ZME,PM5,0.0
184043,PI,ZME,PM5,0.0
184083,PI,ZME,PM5,0.0
184084,PI,ZME,PM5,0.0
184085,PI,ZME,PM5,0.0
184086,PI,ZME,PM5,0.0
184492,PI,ZME,PM5,0.0
184493,PI,ZME,PM5,0.0
184494,PI,ZME,PM5,0.0
184511,PI,ZME,PM5,0.0
184512,PI,ZME,PM5,0.0
184513,PI,ZME,PM5,0.0
184514,PI,ZME,PM5,0.0
184515,PI,ZME,PM5,0.0
184516,PI,ZME,PM5,0.0
120786,PI,ZME,PM5,1.0
120792,PI,ZME,PM5,1.0
125510,PI,ZME,PM5,1.0
127095,PI,ZME,PM5,1.0
127099,PI,ZME,PM5,1.0
127103,PI,ZME,PM5,1.0
129914,PI,ZME,PM5,1.0
130608,PI,ZME,PM5,1.0
132224,PI,ZME,PM5,1.0
135040,PI,ZME,PM5,1.0
135227,PI,ZME,PM5,1.0
136054,PI,ZME,PM5,1.0
137444,PI,ZME,PM5,1.0
139178,PI,ZME,PM5,1.0
139367,PI,ZME,PM5,1.0
139370,PI,ZME,PM5,1.0
139379,PI,ZME,PM5,1.0
140144,PI,ZME,PM5,1.0
140822,PI,ZME,PM5,1.0
140823,PI,ZME,PM5,1.0
141084,PI,ZME,PM5,1.0
141086,PI,ZME,PM5,1.0
141087,PI,ZME,PM5,1.0
141219,PI,ZME,PM5,1.0
141707,PI,ZME,PM5,1.0
141773,PI,ZME,PM5,1.0
141906,PI,ZME,PM5,1.0
141907,PI,ZME,PM5,1.0
142103,PI,ZME,PM5,1.0
142104,PI,ZME,PM5,1.0
142105,PI,ZME,PM5,1.0
142106,PI,ZME,PM5,1.0
142107,PI,ZME,PM5,1.0
142109,PI,ZME,PM5,1.0
142771,PI,ZME,PM5,1.0
142772,PI,ZME,PM5,1.0
142781,PI,ZME,PM5,1.0
142782,PI,ZME,PM5,1.0
142823,PI,ZME,PM5,1.0
142824,PI,ZME,PM5,1.0
142825,PI,ZME,PM5,1.0
142895,PI,ZME,PM5,1.0
142896,PI,ZME,PM5,1.0
142911,PI,ZME,PM5,1.0
142912,PI,ZME,PM5,1.0
142977,PI,ZME,PM5,1.0
143070,PI,ZME,PM5,1.0
143076,PI,ZME,PM5,1.0
143078,PI,ZME,PM5,1.0
143224,PI,ZME,PM5,1.0
143226,PI,ZME,PM5,1.0
143233,PI,ZME,PM5,1.0
143410,PI,ZME,PM5,1.0
144004,PI,ZME,PM5,1.0
144006,PI,ZME,PM5,1.0
144602,PI,ZME,PM5,1.0
144666,PI,ZME,PM5,1.0
144667,PI,ZME,PM5,1.0
144669,PI,ZME,PM5,1.0
144737,PI,ZME,PM5,1.0
144738,PI,ZME,PM5,1.0
144797,PI,ZME,PM5,1.0
144850,PI,ZME,PM5,1.0
144851,PI,ZME,PM5,1.0
144852,PI,ZME,PM5,1.0
144853,PI,ZME,PM5,1.0
144855,PI,ZME,PM5,1.0
144859,PI,ZME,PM5,1.0
144862,PI,ZME,PM5,1.0
144863,PI,ZME,PM5,1.0
144870,PI,ZME,PM5,1.0
