week_ending,store_code,city,division_code,sales,units,n_transactions
2025-06-22,CP08,Longueuil,CH,20799.91,9.0,9
2025-06-22,CP08,Longueuil,FI,3207.94,6.0,5
2025-06-22,CP08,Longueuil,GA,7919.94,6.0,6
2025-06-22,CP08,Longueuil,HT,10106.99,4.0,4
2025-06-22,CP08,Longueuil,IN,7419.9400000000005,12.0,12
2025-06-22,CP08,Longueuil,INM,1375.0,3.0,3
2025-06-22,CP08,Longueuil,LI,1079.87,36.0,36
2025-06-22,CP08,Longueuil,LO,2368.75,144.0,114
2025-06-22,CP08,Longueuil,ME,29405.93,181.0,108
2025-06-22,CP08,Longueuil,MK,8.98,3.0,3
2025-06-22,CP08,Longueuil,PA,6012.24,26.0,25
2025-06-22,CP08,Longueuil,PC,35951.06,1593.0,1259
2025-06-22,CP08,Longueuil,PI,11369.02,253.0,203
2025-06-22,CP08,Longueuil,SE,1170.94,46.0,25
2025-06-22,CP08,Longueuil,TO,2124.95,6.0,6
2025-06-22,CP202,Nepean,AP,34057.9,362.0,292
2025-06-22,CP202,Nepean,AS,2627.44,60.0,48
2025-06-22,CP202,Nepean,BQ,179.99,1.0,1
2025-06-22,CP202,Nepean,CH,1899.99,1.0,1
2025-06-22,CP202,Nepean,DI,51.95,31.0,32
2025-06-22,CP202,Nepean,GA,23898.949999999997,6.0,6
2025-06-22,CP202,Nepean,IN,3150.99,7.0,7
2025-06-22,CP202,Nepean,LI,2038.86,17.0,17
2025-06-22,CP202,Nepean,LO,1134.68,32.0,29
2025-06-22,CP202,Nepean,ME,41138.04,165.0,83
2025-06-22,CP202,Nepean,PA,5107.98,19.0,16
2025-06-22,CP202,Nepean,PC,31174.37,1640.0,1383
2025-06-22,CP202,Nepean,PI,4280.61,289.0,247
2025-06-22,CP202,Nepean,SP,23752.0,1.0,1
2025-06-22,CP37,Gatineau,AM,549.99,1.0,3
2025-06-22,CP37,Gatineau,AP,80332.83,2419.0,1023
2025-06-22,CP37,Gatineau,AS,4759.91,91.0,86
2025-06-22,CP37,Gatineau,BQ,4393.8,20.0,20
2025-06-22,CP37,Gatineau,CH,10197.98,5.0,5
2025-06-22,CP37,Gatineau,CR,49959.0,4.0,4
2025-06-22,CP37,Gatineau,DI,128.61,14.0,13
2025-06-22,CP37,Gatineau,FI,1699.99,1.0,1
2025-06-22,CP37,Gatineau,GA,2585.86,2.0,1
2025-06-22,CP37,Gatineau,HT,23393.0,7.0,7
2025-06-22,CP37,Gatineau,IN,12175.94,-86.0,34
2025-06-22,CP37,Gatineau,LI,1686.59,15.0,15
2025-06-22,CP37,Gatineau,LO,3089.12,204.0,160
2025-06-22,CP37,Gatineau,ME,47016.61,213.0,121
2025-06-22,CP37,Gatineau,MK,112.87,117.0,102
2025-06-22,CP37,Gatineau,PA,1698.8600000000001,12.0,16
2025-06-22,CP37,Gatineau,PC,63163.03,2886.0,2396
2025-06-22,CP37,Gatineau,PI,16179.76,1280.0,957
2025-06-22,CP37,Gatineau,SE,824.0,14.0,12
2025-06-22,CP37,Gatineau,SP,11585.23,2.0,2
2025-06-22,CP37,Gatineau,TO,7464.85,24.0,22
2025-06-22,CP44,St-Constant,AM,77.97,3.0,3
2025-06-22,CP44,St-Constant,AP,39277.96,977.5,681
2025-06-22,CP44,St-Constant,AS,2840.06,276.0,46
2025-06-22,CP44,St-Constant,AZ,207.92,8.0,8
2025-06-22,CP44,St-Constant,BQ,1672.81,20.0,18
2025-06-22,CP44,St-Constant,CC,0.0,1.0,1
2025-06-22,CP44,St-Constant,CH,13549.949999999999,7.0,7
2025-06-22,CP44,St-Constant,FI,1659.99,1.0,1
2025-06-22,CP44,St-Constant,GA,10364.91,10.0,10
2025-06-22,CP44,St-Constant,HT,2699.0,1.0,1
2025-06-22,CP44,St-Constant,IN,3199.95,6.0,6
2025-06-22,CP44,St-Constant,INM,2420.0,8.0,5
2025-06-22,CP44,St-Constant,LI,1029.94,24.0,24
