store_code,city,division_code,Week,Forecast_Units,model,ASP,Forecast_Revenue
CP35,Saint-Jean-sur-Richelieu,LO,2026-03-29,4.25,XGBoost_Stratified,10.850902777777778,46.12
CP35,Saint-Jean-sur-Richelieu,LO,2026-04-05,6.369999885559082,XGBoost_Stratified,14.894200854049107,94.88
CP35,Saint-Jean-sur-Richelieu,LO,2026-04-12,12.039999961853027,XGBoost_Stratified,14.894200854049107,179.33
CP35,Saint-Jean-sur-Richelieu,LO,2026-04-19,16.440000534057617,XGBoost_Stratified,14.894200854049107,244.86
CP35,Saint-Jean-sur-Richelieu,PC,2026-03-29,73.33000183105469,XGBoost_Stratified,19.97647304867893,1464.87
CP35,Saint-Jean-sur-Richelieu,PC,2026-04-05,82.83999633789062,XGBoost_Stratified,26.512108438223976,2196.26
CP35,Saint-Jean-sur-Richelieu,PC,2026-04-12,92.97000122070312,XGBoost_Stratified,26.512108438223976,2464.83
CP35,Saint-Jean-sur-Richelieu,PC,2026-04-19,97.94999694824219,XGBoost_Stratified,26.512108438223976,2596.86
CP36,Saint-Eustache,LO,2026-03-29,15.479999542236328,XGBoost_Stratified,9.258583333333332,143.32
CP36,Saint-Eustache,LO,2026-04-05,10.079999923706055,XGBoost_Stratified,12.42246212121212,125.22
CP36,Saint-Eustache,LO,2026-04-12,10.079999923706055,XGBoost_Stratified,12.42246212121212,125.22
CP36,Saint-Eustache,LO,2026-04-19,13.260000228881836,XGBoost_Stratified,12.42246212121212,164.72
CP36,Saint-Eustache,ME,2026-03-29,372.6400146484375,XGBoost_Stratified,231.16154150197627,86140.04
CP36,Saint-Eustache,ME,2026-04-05,237.35000610351562,XGBoost_Stratified,173.65161921844972,41216.21
CP36,Saint-Eustache,ME,2026-04-12,237.14999389648438,XGBoost_Stratified,173.65161921844972,41181.48
CP36,Saint-Eustache,ME,2026-04-19,232.82000732421875,XGBoost_Stratified,173.65161921844972,40429.57
CP36,Saint-Eustache,PC,2026-03-29,45.369998931884766,XGBoost_Stratified,22.973571428571425,1042.31
CP36,Saint-Eustache,PC,2026-04-05,54.38999938964844,XGBoost_Stratified,26.194824748926948,1424.74
CP36,Saint-Eustache,PC,2026-04-12,73.91999816894531,XGBoost_Stratified,26.194824748926948,1936.32
CP36,Saint-Eustache,PC,2026-04-19,95.4000015258789,XGBoost_Stratified,26.194824748926948,2498.99
CP37,Gatineau,ME,2026-03-29,64.73999786376953,XGBoost_Stratified,314.85371794871793,20383.63
CP37,Gatineau,ME,2026-04-05,121.79000091552734,XGBoost_Stratified,294.1269629435984,35821.72
CP37,Gatineau,ME,2026-04-12,135.38999938964844,XGBoost_Stratified,294.1269629435984,39821.85
CP37,Gatineau,ME,2026-04-19,167.02999877929688,XGBoost_Stratified,294.1269629435984,49128.03
CP37,Gatineau,PC,2026-03-29,129.19000244140625,XGBoost_Stratified,23.373441139183193,3019.61
CP37,Gatineau,PC,2026-04-05,129.7100067138672,XGBoost_Stratified,24.18931503857137,3137.6
CP37,Gatineau,PC,2026-04-12,135.0,XGBoost_Stratified,24.18931503857137,3265.56
CP37,Gatineau,PC,2026-04-19,183.57000732421875,XGBoost_Stratified,24.18931503857137,4440.43
CP39,Joliette,PC,2026-03-29,62.58000183105469,XGBoost_Stratified,16.976002024291496,1062.36
CP39,Joliette,PC,2026-04-05,47.75,XGBoost_Stratified,22.69996326707001,1083.92
CP39,Joliette,PC,2026-04-12,43.810001373291016,XGBoost_Stratified,22.69996326707001,994.49
CP39,Joliette,PC,2026-04-19,60.86000061035156,XGBoost_Stratified,22.69996326707001,1381.52
CP40,Thetford Mines,PC,2026-03-29,24.06999969482422,XGBoost_Stratified,25.599756097560974,616.19
CP40,Thetford Mines,PC,2026-04-05,33.59000015258789,XGBoost_Stratified,25.623793427909668,860.7
CP40,Thetford Mines,PC,2026-04-12,32.15999984741211,XGBoost_Stratified,25.623793427909668,824.06
CP40,Thetford Mines,PC,2026-04-19,32.15999984741211,XGBoost_Stratified,25.623793427909668,824.06
CP44,St-Constant,PC,2026-03-29,24.93000030517578,XGBoost_Stratified,23.754705882352944,592.2
CP44,St-Constant,PC,2026-04-05,23.420000076293945,XGBoost_Stratified,23.781271568627453,556.96
CP44,St-Constant,PC,2026-04-12,26.360000610351562,XGBoost_Stratified,23.781271568627453,626.87
CP44,St-Constant,PC,2026-04-19,69.94999694824219,XGBoost_Stratified,23.781271568627453,1663.5
CP45,Cowansville,PC,2026-03-29,39.25,XGBoost_Stratified,24.5525,963.69
CP45,Cowansville,PC,2026-04-05,49.72999954223633,XGBoost_Stratified,26.161125202374528,1300.99
CP45,Cowansville,PC,2026-04-12,70.33000183105469,XGBoost_Stratified,26.161125202374528,1839.91
CP45,Cowansville,PC,2026-04-19,92.20999908447266,XGBoost_Stratified,26.161125202374528,2412.32
CP46,Sainte-Agathe-des-Monts,PC,2026-03-29,32.0,XGBoost_Stratified,24.278858974358975,776.92
CP46,Sainte-Agathe-des-Monts,PC,2026-04-05,27.790000915527344,XGBoost_Stratified,28.203377742946707,783.77
CP46,Sainte-Agathe-des-Monts,PC,2026-04-12,28.649999618530273,XGBoost_Stratified,28.203377742946707,808.03
